Class,component,sup,cpm,mis,misr,dir,omega
1.0,0,3,0.0,120.00,21.00,ao,1000
1.0,1.0,3.0,0.0,55.0,7.5,aa,1000.0
1.0,2.0,3.0,0.0,26.0,1.4,vo,1000.0
1.0,3.0,3.0,0.0,11.0,0.8,va,1000.0
1.0,4.0,2.0,0.0,7.0,5.5,ao,1000.0
1.0,5.0,2.0,0.0,25.0,5.5,aa,1000.0
1.0,6.0,2.0,0.0,13.0,0.75,vo,1000.0
1.0,7.0,2.0,0.0,9.0,0.95,va,1000.0
1.0,8.0,2.0,6000.0,8.0,0.4,io,1000.0
1.0,9.0,2.0,6000.0,5.5,0.3,ia,1000.0
1.0,10.0,2.0,18000.0,2.75,0.6,ia,1000.0
1.0,11.0,2.0,20000.0,6.5,0.0,io,1000.0
1.0,12.0,2.0,22000.0,2.75,0.0,ia,1000.0
1.0,13.0,2.0,23000.0,3.75,0.0,io,1000.0
1.0,14.0,2.0,2000.0,1.4,0.0,ia,1000.0
1.0,15.0,3.0,4000.0,18.0,0.0,io,1000.0
1.0,16.0,3.0,4000.0,1.9,0.0,ia,1000.0
1.0,17.0,3.0,3000.0,7.0,0.0,io,1000.0
1.0,18.0,3.0,24000.0,1.25,0.0,ia,1000.0
1.0,19.0,3.0,20000.0,4.0,0.0,ia,1000.0
1.0,20.0,3.0,18000.0,3.5,0.0,io,1000.0
1.0,21.0,3.0,6000.0,2.5,0.25,io,1000.0
1.0,22.0,3.0,1000.0,12.0,1.0,io,1000.0
1.0,23.0,3.0,2000.0,4.5,0.0,io,1000.0
1.0,24.0,3.0,2000.0,4.5,0.35,ia,1000.0
1.0,25.0,3.0,4000.0,18.0,0.0,ma,1000.0
1.0,0.0,1.0,0.0,9.0,0.0,ao,3000.0
1.0,1.0,1.0,0.0,6.0,0.0,av,3000.0
1.0,2.0,1.0,0.0,2.5,0.0,vo,3000.0
1.0,3.0,1.0,0.0,1.3,0.0,vv,3000.0
1.0,4.0,3.0,0.0,65.0,0.0,ao,3000.0
